COUNTRY,flows,short,ISO Code
BELIZE,"{'7': -13.0, '8': -6.0, '11': -85.0, '12': -9.0, '14': -45.0, '17': -21.0, '19': -12.0, '20': 62043.0, '24': -1007.0, '28': -5.0, '30': 0.0, '35': -2146.0, '37': -478, '38': -392.0, '48': -167.0, '54': -1.0, '56': -6.0, '62': -344.0, '65': 0.0, '71': 0.0, '72': -8.0, '81': -2.0, '86': -984.0, '87': 0.0, '91': -372.0, '92': -2.0, '93': 0.0, '98': -1.0, '101': -38.0, '102': -7.0, '117': 0.0, '129': -2127.0, '142': -25.0, '145': -24.0, '151': -13.0, '156': -103.0, '166': -3.0, '172': 0.0, '186': -2.0, '187': -1.0, '192': -44.0, '196': -13.0, '197': -46.0, '215': -1694.0, '216': -42970.0, '222': -18.0}",BELIZE,BZ
BENIN,"{'11': -117.0, '12': -113.0, '19': -1640.0, '21': 394276.0, '24': -1.0, '28': -32.0, '30': -27.0, '31': -4342.0, '34': -2795.0, '35': -2976.0, '37': 0, '46': -15094.0, '48': -1.0, '53': -6.0, '54': -39.0, '56': -52.0, '61': -35.0, '65': -1.0, '71': -19.0, '72': -23352.0, '75': -52460.0, '78': -3061.0, '79': -19736.0, '81': -5.0, '87': -391.0, '92': -33.0, '93': -1.0, '98': -37.0, '101': -3254.0, '111': -1.0, '114': -20.0, '117': 0.0, '118': -131.0, '123': -1869.0, '126': -602.0, '139': -161.0, '142': -310.0, '146': -22875.0, '147': -377169.0, '151': -27.0, '162': -36.0, '166': -41.0, '167': -92.0, '180': -3740.0, '183': -101.0, '186': -10.0, '187': 0.0, '190': -231.0, '192': -536.0, '196': -114.0, '197': -672.0, '203': -72330.0, '215': -563.0}",BENIN,BJ
BERMUDA,"{'7': -13.0, '11': -623.0, '12': -15.0, '14': -40.0, '17': -27.0, '19': -30.0, '22': 19739.0, '24': 0.0, '30': -1.0, '35': -1985.0, '37': -132, '38': -37.0, '48': -13.0, '54': -2.0, '56': 0.0, '59': -15.0, '71': 0.0, '72': -128.0, '81': -5.0, '92': -1.0, '93': -2.0, '98': -63.0, '118': -8.0, '142': -50.0, '151': -9.0, '172': 0.0, '187': 0.0, '190': -70.0, '196': -19.0, '215': -4775.0, '216': -13176.0}",BERMUDA,BM
BHUTAN,"{'11': -7937.0, '12': -23.0, '19': -269.0, '23': 53612.0, '30': -23.0, '35': -4569.0, '37': -8, '48': -4.0, '54': -3.0, '56': -632.0, '59': -8.0, '65': -3.0, '71': -2.0, '72': -162.0, '81': 0.0, '87': -1.0, '92': -12.0, '94': -9438.0, '98': -6.0, '101': -30.0, '118': -1.0, '141': -27502.0, '142': -300.0, '151': -373.0, '166': -6.0, '193': -233.0, '196': -36.0, '197': -89.0, '215': -336.0}",BHUTAN,BT
BOLIVIA,"{'8': -423136.0, '11': -1183.0, '12': -514.0, '19': -1274.0, '24': 164121.0, '28': -49289.0, '30': -22.0, '35': -4731.0, '37': -246, '42': -128782.0, '44': -1129.0, '48': -442.0, '50': -29.0, '51': -46.0, '53': -8.0, '54': -99.0, '56': -475.0, '59': -176.0, '60': -1597.0, '62': -53.0, '65': -5.0, '71': -166.0, '72': -3598.0, '78': -5947.0, '81': -21.0, '86': -145.0, '87': -3.0, '91': -149.0, '92': -55.0, '93': -15.0, '98': -17.0, '101': -15580.0, '111': -1.0, '116': 0.0, '117': -1.0, '118': -70.0, '129': -1753.0, '142': -1063.0, '145': -66.0, '151': -583.0, '156': -543.0, '158': -1092.0, '159': -28165.0, '160': -36.0, '161': -61.0, '162': -242.0, '163': -24.0, '166': -191.0, '167': -82.0, '186': -16.0, '187': -13.0, '190': -195.0, '192': -159936.0, '196': -4739.0, '197': -4593.0, '215': -3212.0, '216': -80028.0, '222': -1853.0}",BOLIVIA,BO
BONAIRE SINT EUSTATIUS AND SABA,"{'7': -10.0, '10': -331.0, '24': -21.0, '25': 26221.0, '35': -4407.0, '37': -3456, '52': -2722.0, '72': -104.0, '142': -113.0, '151': 0.0, '175': -202.0, '217': -18.0, '222': -47.0}",BONAIRE SINT EUSTATIUS AND SABA,BQ
BOSNIA AND HERZEGOVINA,"{'11': -38485.0, '12': -168798.0, '19': -714.0, '24': -10.0, '26': 36042.0, '28': -86.0, '30': -164.0, '35': -38906.0, '37': -5, '50': -381100.0, '53': -65.0, '54': -3178.0, '56': -17182.0, '59': -5.0, '61': -61.0, '65': -2.0, '71': -811.0, '72': -15944.0, '78': -221720.0, '81': -446.0, '87': 0.0, '92': -438.0, '93': -273.0, '98': -732.0, '101': -29487.0, '104': -59.0, '111': -9.0, '115': -351.0, '116': -299.0, '117': -2.0, '118': -2732.0, '124': -494.0, '134': -32126.0, '142': -1059.0, '149': -8750.0, '151': -13946.0, '161': -4584.0, '162': -46.0, '166': -160.0, '167': -513.0, '181': -342526.0, '186': -463.0, '187': -122235.0, '190': -243.0, '192': -2858.0, '196': -60912.0, '197': -57678.0, '208': -3253.0, '215': -9576.0, '216': -104136.0, '222': -22.0}",BOSNIA AND HERZEGOVINA,BA
BOTSWANA,"{'11': -1539.0, '12': -23.0, '14': -13.0, '19': -38.0, '27': 110268.0, '30': -26.0, '35': -913.0, '37': -13, '53': -6.0, '54': -30.0, '56': -67.0, '66': -39.0, '71': -19.0, '72': -43.0, '81': -5.0, '87': -46.0, '92': -12.0, '98': -89.0, '101': -54.0, '111': 0.0, '113': -198.0, '118': -1.0, '139': -689.0, '142': -260.0, '151': -118.0, '166': -7.0, '167': -26.0, '186': -2.0, '187': -1.0, '190': -50475.0, '196': -134.0, '197': -83.0, '200': -125.0, '215': -3485.0, '226': -1130.0, '227': -3865.0}",BOTSWANA,BW
BRAZIL,"{'8': -49267.0, '11': -43321.0, '12': -6173.0, '14': -128.0, '16': -14628.0, '18': -91.0, '19': -16345.0, '24': -28612.0, '28': 1079708.0, '30': -210.0, '35': -31568.0, '36': -301.0, '37': -1065, '38': -78.0, '42': -18976.0, '43': -57602.0, '44': -4685.0, '48': -652.0, '50': -180.0, '53': -55.0, '54': -1150.0, '56': -4605.0, '59': -671.0, '60': -2774.0, '61': -130.0, '62': -245.0, '65': -244.0, '68': -31.0, '71': -1889.0, '72': -65671.0, '73': -25759.0, '78': -70888.0, '79': -13.0, '81': -2258.0, '84': -58.0, '86': -257.0, '87': -12.0, '89': -1260.0, '91': -240.0, '92': -1321.0, '93': -217.0, '98': -11800.0, '100': -8673.0, '101': -133398.0, '103': -204814.0, '104': -105.0, '111': -46.0, '115': -270.0, '116': -201.0, '117': -77.0, '118': -3722.0, '124': -287.0, '126': -173.0, '129': -6964.0, '139': -558.0, '142': -22974.0, '144': -8319.0, '145': -126.0, '151': -6256.0, '156': -2406.0, '158': -79897.0, '159': -16458.0, '160': -171.0, '161': -340.0, '162': -154017.0, '163': -40.0, '166': -690.0, '167': -431.0, '172': -6.0, '177': -30.0, '180': -670.0, '181': -85.0, '186': -171.0, '187': -199.0, '190': -3535.0, '192': -133244.0, '195': -5566.0, '196': -9533.0, '197': -42715.0, '202': -64.0, '208': -471.0, '215': -44175.0, '216': -517519.0, '218': -14762.0, '222': -5680.0}",BRAZIL,BR
BRUNEI,"{'8': -1.0, '11': -3294.0, '12': -8.0, '19': -21.0, '28': -180.0, '29': 111959.0, '30': -1.0, '35': -4828.0, '37': 0, '53': -1.0, '54': 0.0, '56': -8.0, '61': -68.0, '71': -4.0, '72': -52.0, '92': -1.0, '94': -23530.0, '98': -16.0, '101': -36.0, '104': -24.0, '121': -7054.0, '142': -633.0, '151': -34.0, '160': -85.0, '190': -24.0, '192': -27.0, '196': -9.0, '197': -54.0, '199': -21.0, '215': -5326.0}",BRUNEI,BN
