COUNTRY,flows,short,ISO Code
BRAZIL,"{'0': 73.0, '2': 232.0, '4': 13.0, '5': 8184.0, '8': 36910.0, '9': 65.0, '11': 747.0, '12': 2968.0, '14': 19.0, '15': 32.0, '16': 5384.0, '17': 35.0, '18': 10.0, '19': 2151.0, '20': 5.0, '21': 32.0, '24': 49289.0, '26': 86.0, '28': -1897128.0, '29': 180.0, '30': 301.0, '31': 31.0, '32': 27.0, '33': 35.0, '34': 175.0, '35': 2014.0, '36': 1516.0, '37': 49651, '39': 13.0, '42': 19596.0, '43': 24632.0, '44': 8700.0, '46': 99.0, '48': 490.0, '50': 726.0, '51': 14798.0, '54': 566.0, '55': 4375.0, '56': 626.0, '58': 27.0, '59': 1274.0, '60': 2195.0, '61': 3957.0, '62': 289.0, '63': 70.0, '65': 231.0, '67': 13.0, '71': 655.0, '72': 12138.0, '73': 896.0, '75': 38.0, '77': 80.0, '78': 20625.0, '79': 2459.0, '81': 1956.0, '83': 32.0, '86': 369.0, '87': 73.0, '88': 1199.0, '89': 2407.0, '90': 32796.0, '91': 160.0, '92': 1936.0, '93': 612.0, '94': 1118.0, '95': 924.0, '96': 678.0, '97': 646.0, '98': 217.0, '100': 2554.0, '101': 47193.0, '102': 174.0, '103': 62296.0, '104': 1338.0, '105': 30.0, '106': 56.0, '107': 108.0, '108': 25.0, '110': 5.0, '111': 179.0, '112': 15664.0, '114': 43.0, '115': 121.0, '116': 20.0, '117': 801.0, '118': 68.0, '119': 44.0, '120': 11.0, '121': 154.0, '122': 11.0, '123': 7.0, '124': 35.0, '129': 3400.0, '132': 160.0, '134': 27.0, '136': 644.0, '137': 1809.0, '138': 14.0, '139': 61.0, '141': 63.0, '142': 4219.0, '144': 346.0, '145': 465.0, '146': 17.0, '147': 3505.0, '149': 48.0, '151': 728.0, '152': 24.0, '153': 2094.0, '154': 25.0, '156': 660.0, '158': 49842.0, '159': 19074.0, '160': 452.0, '161': 4421.0, '162': 175251.0, '166': 2164.0, '167': 1761.0, '168': 17.0, '171': 38.0, '172': 183.0, '175': 37.0, '177': 43.0, '178': 73.0, '179': 416.0, '180': 6267.0, '181': 550.0, '182': 37.0, '183': 7.0, '184': 145.0, '186': 268.0, '187': 224.0, '190': 2014.0, '192': 39028.0, '195': 346.0, '196': 804.0, '197': 3789.0, '198': 8003.0, '199': 8.0, '200': 111.0, '201': 583.0, '202': 62.0, '203': 11.0, '206': 238.0, '207': 99.0, '208': 459.0, '209': 27.0, '212': 80.0, '213': 930.0, '214': 40.0, '215': 6281.0, '216': 22410.0, '218': 30537.0, '219': 32.0, '222': 248105.0, '223': 161.0, '227': 129.0}",BRAZIL,BR
BRUNEI,"{'11': 559.0, '16': 1343.0, '29': -45340.0, '37': 0, '43': 2238.0, '94': 3357.0, '95': 6717.0, '103': 220.0, '121': 52628.0, '141': 5822.0, '142': 333.0, '144': 220.0, '153': 893.0, '160': 14664.0, '184': 1678.0, '193': 1343.0, '201': 15674.0, '215': 2238.0, '216': 165.0}",BRUNEI,BN
BULGARIA,"{'0': 426.0, '1': 1351.0, '2': 460.0, '4': 0.0, '5': 15.0, '6': 30.0, '7': 4.0, '8': 127.0, '9': 1802.0, '10': 3.0, '11': 295.0, '12': 1938.0, '13': 1930.0, '14': 3.0, '15': 28.0, '16': 539.0, '17': 3.0, '18': 1110.0, '19': 2606.0, '20': 0.0, '21': 27.0, '22': 1.0, '23': 23.0, '24': 22.0, '26': 164.0, '27': 26.0, '28': 210.0, '29': 1.0, '30': -1683074.0, '31': 13.0, '32': 18.0, '33': 13.0, '34': 24.0, '35': 753.0, '36': 5.0, '37': 477, '38': 3.0, '40': 4.0, '42': 27.0, '43': 1550.0, '44': 68.0, '46': 26.0, '48': 8.0, '50': 125.0, '51': 301.0, '53': 1479.0, '54': 1533.0, '55': 13.0, '56': 555.0, '57': 2.0, '58': 0.0, '59': 56.0, '60': 28.0, '61': 358.0, '62': 11.0, '64': 13.0, '65': 103.0, '66': 1.0, '67': 63.0, '70': 0.0, '71': 211.0, '72': 3021.0, '75': 8.0, '76': 9.0, '77': 492.0, '78': 12588.0, '79': 29.0, '80': 9.0, '81': 8061.0, '82': 1.0, '86': 4.0, '87': 9.0, '88': 3.0, '89': 3.0, '90': 4.0, '91': 4.0, '92': 391.0, '93': 29.0, '94': 553.0, '95': 63.0, '96': 475.0, '97': 1389.0, '98': 385.0, '99': 18.0, '100': 824.0, '101': 3994.0, '102': 5.0, '103': 220.0, '104': 293.0, '105': 2308.0, '106': 28.0, '107': 3.0, '108': 227.0, '109': 237.0, '110': 0.0, '111': 218.0, '112': 1026.0, '114': 6.0, '115': 294.0, '116': 1.0, '117': 158.0, '118': 109.0, '119': 1.0, '120': 2.0, '121': 20.0, '122': 0.0, '123': 3.0, '124': 165.0, '125': 0.0, '126': 2.0, '127': 5.0, '129': 97.0, '131': 3144.0, '132': 12.0, '133': 101.0, '134': 41.0, '136': 156.0, '137': 38.0, '139': 8.0, '140': 1.0, '141': 16.0, '142': 1772.0, '144': 63.0, '145': 38.0, '146': 0.0, '147': 246.0, '149': 4614.0, '151': 545.0, '152': 9.0, '153': 290.0, '155': 83.0, '156': 7.0, '157': 1.0, '158': 3.0, '159': 33.0, '160': 155.0, '161': 1946.0, '162': 569.0, '164': 58.0, '166': 3519.0, '167': 32789.0, '168': 1.0, '176': 5.0, '177': 4.0, '179': 139.0, '180': 14.0, '181': 3245.0, '182': 1.0, '183': 1.0, '184': 33.0, '186': 394.0, '187': 129.0, '189': 23.0, '190': 335.0, '192': 7450.0, '193': 20.0, '194': 48.0, '195': 2.0, '196': 514.0, '197': 600.0, '198': 17848.0, '199': 169.0, '200': 13.0, '201': 57.0, '203': 3.0, '204': 0.0, '205': 0.0, '206': 4.0, '207': 150.0, '208': 14454.0, '209': 317.0, '210': 1.0, '211': 0.0, '212': 9.0, '213': 11275.0, '214': 347.0, '215': 11981.0, '216': 3454.0, '218': 17.0, '219': 925.0, '220': 15.0, '221': 0.0, '222': 52.0, '223': 709.0, '224': 0.0, '225': 93.0, '226': 13.0, '227': 41.0}",BULGARIA,BG
BURKINA FASO,"{'21': 4342.0, '31': -1599347.0, '37': 0, '79': 33487.0, '123': 37052.0, '146': 13259.0, '147': 5373.0, '180': 4191.0, '203': 15999.0}",BURKINA FASO,BF
BURUNDI,"{'19': 718.0, '32': -551105.0, '37': 0, '55': 199585.0, '72': 358.0, '106': 1226.0, '168': 76567.0, '200': 33318.0, '212': 1058.0}",BURUNDI,BI
CAMBODIA,"{'11': 123.0, '33': -1104819.0, '35': 43.0, '37': 0, '43': 1627.0, '72': 294.0, '78': 39.0, '94': 101.0, '95': 111.0, '101': 14.0, '103': 132.0, '110': 278.0, '121': 182.0, '138': 54.0, '141': 46.0, '142': 30.0, '153': 42.0, '160': 162.0, '167': 30.0, '184': 130.0, '193': 48.0, '201': 33048.0, '215': 97.0, '216': 208.0, '223': 39098.0}",CAMBODIA,KH
CAMEROON,"{'5': 2976.0, '21': 2795.0, '34': -441015.0, '35': 207.0, '37': 0, '39': 303005.0, '40': 27852.0, '46': 3439.0, '55': 4750.0, '63': 3911.0, '72': 5376.0, '75': 1228.0, '78': 340.0, '81': 220.0, '87': 5331.0, '101': 590.0, '114': 4956.0, '123': 9556.0, '142': 184.0, '146': 12236.0, '147': 169602.0, '180': 3673.0, '215': 295.0, '216': 952.0}",CAMEROON,CM
CANADA,"{'0': 55954.0, '1': 16544.0, '2': 69587.0, '5': 3358.0, '6': 68.0, '7': 2486.0, '8': 20921.0, '9': 4484.0, '10': 617.0, '11': 22731.0, '12': 17061.0, '13': 4139.0, '14': 1759.0, '15': 2572.0, '16': 63250.0, '17': 15177.0, '18': 12049.0, '19': 20395.0, '20': 2146.0, '21': 2976.0, '22': 1985.0, '23': 4569.0, '24': 4731.0, '25': 4407.0, '26': 38906.0, '27': 913.0, '28': 31568.0, '29': 4828.0, '30': 20060.0, '31': 2130.0, '32': 9119.0, '33': 25111.0, '34': 19996.0, '35': -1292329.0, '36': 175.0, '37': 415241, '38': 289.0, '39': 1134.0, '40': 1716.0, '42': 28757.0, '43': 699190.0, '44': 75425.0, '45': 144.0, '46': 2647.0, '48': 4252.0, '50': 43123.0, '51': 19221.0, '52': 505.0, '53': 4322.0, '54': 22677.0, '55': 27620.0, '56': 13470.0, '57': 2405.0, '58': 2991.0, '59': 11414.0, '60': 16115.0, '61': 69587.0, '62': 51776.0, '63': 63.0, '64': 16162.0, '65': 3444.0, '66': 429.0, '67': 35309.0, '70': 26559.0, '71': 10255.0, '72': 113686.0, '73': 299.0, '74': 191.0, '75': 1156.0, '76': 719.0, '77': 2765.0, '78': 157059.0, '79': 24670.0, '80': 175.0, '81': 67536.0, '83': 11053.0, '84': 552.0, '86': 18602.0, '87': 5588.0, '88': 116.0, '89': 94421.0, '90': 100672.0, '91': 8382.0, '92': 39650.0, '93': 633.0, '94': 720083.0, '95': 15377.0, '96': 166294.0, '97': 73750.0, '98': 30502.0, '100': 28789.0, '101': 254831.0, '102': 148982.0, '103': 29332.0, '104': 14310.0, '105': 13406.0, '106': 29241.0, '108': 16405.0, '109': 3201.0, '110': 15587.0, '111': 6330.0, '112': 95568.0, '113': 111.0, '114': 2664.0, '115': 6783.0, '117': 5361.0, '118': 724.0, '119': 3821.0, '120': 719.0, '121': 25618.0, '123': 2255.0, '124': 8037.0, '126': 973.0, '127': 17120.0, '129': 86780.0, '131': 18958.0, '132': 116.0, '133': 1528.0, '134': 2006.0, '135': 655.0, '136': 75009.0, '137': 1344.0, '138': 8845.0, '139': 1112.0, '141': 15495.0, '142': 95278.0, '143': 234.0, '144': 10638.0, '145': 10627.0, '146': 1107.0, '147': 45690.0, '149': 11090.0, '151': 4177.0, '152': 1656.0, '153': 217807.0, '155': 8840.0, '156': 2814.0, '157': 251.0, '158': 7859.0, '159': 31890.0, '160': 633547.0, '161': 157733.0, '162': 150166.0, '163': 541.0, '164': 2680.0, '165': 316.0, '166': 97253.0, '167': 84735.0, '168': 6572.0, '171': 2265.0, '172': 6561.0, '174': 311.0, '175': 13939.0, '176': 171.0, '179': 21622.0, '180': 8085.0, '181': 35885.0, '182': 1112.0, '183': 3272.0, '184': 12721.0, '186': 15511.0, '187': 8845.0, '189': 29327.0, '190': 48093.0, '191': 5965.0, '192': 11521.0, '193': 142144.0, '194': 11650.0, '195': 1128.0, '196': 7137.0, '197': 20503.0, '198': 57031.0, '199': 1409.0, '200': 22182.0, '201': 16232.0, '203': 3606.0, '205': 149.0, '206': 70035.0, '207': 18774.0, '208': 28763.0, '209': 536.0, '210': 63.0, '212': 14224.0, '213': 78644.0, '214': 22608.0, '215': 537504.0, '216': 273226.0, '217': 95.0, '218': 7036.0, '219': 6874.0, '222': 22375.0, '223': 182265.0, '225': 3185.0, '226': 3999.0, '227': 11299.0}",CANADA,CA
CAPE VERDE,"{'5': 390.0, '8': 3.0, '19': 9.0, '28': 301.0, '36': -187558.0, '37': 162, '43': 23.0, '51': 89.0, '72': 211.0, '75': 7.0, '76': 4.0, '78': 69.0, '79': 43.0, '87': 436.0, '88': 5330.0, '101': 430.0, '103': 0.0, '118': 3.0, '123': 6.0, '129': 2.0, '137': 26.0, '142': 37.0, '147': 708.0, '159': 2.0, '162': 1225.0, '167': 737.0, '178': 1809.0, '180': 1562.0, '183': 14.0, '192': 150.0, '197': 12.0, '202': 7.0, '213': 22.0, '215': 53.0, '216': 370.0, '217': 73.0}",CAPE VERDE,CV
CARIBBEAN,"{'0': 0.0, '1': 0.0, '2': 263.0, '3': 0.0, '4': 0.0, '5': 30.0, '6': 1515.0, '7': 7801.0, '8': 2588.0, '9': 0.0, '10': 4094.0, '11': 409.0, '12': 482.0, '13': 0.0, '14': 1471.0, '15': 21.0, '16': 0.0, '17': 4578.0, '18': 0.0, '19': 988.0, '20': 478.0, '21': 0.0, '22': 132.0, '23': 8.0, '24': 246.0, '25': 3456.0, '26': 5.0, '27': 13.0, '28': 1065.0, '29': 0.0, '30': 110.0, '31': 0.0, '32': 3.0, '33': 126.0, '34': 23.0, '35': 12025.0, '36': 3.0, '37': -9078772, '38': 31.0, '39': 140.0, '40': 3.0, '41': 16.0, '42': 1542.0, '43': 9133.0, '44': 24732.0, '45': 0.0, '46': 0.0, '47': 8.0, '48': 1811.0, '50': 0.0, '51': 24045.0, '52': 4788.0, '53': 0.0, '54': 53.0, '55': 0.0, '56': 59.0, '57': 0.0, '58': 20189.0, '59': 77174.0, '60': 1044.0, '61': 54.0, '62': 618.0, '63': 0.0, '64': 0.0, '65': 15.0, '66': 11.0, '67': 92.0, '68': 0.0, '69': 0.0, '70': 0.0, '71': 37.0, '72': 108253.0, '73': 3257.0, '74': 0.0, '75': 0.0, '76': 0.0, '77': 0.0, '78': 4540.0, '79': 96.0, '80': 0.0, '81': 161.0, '82': 0.0, '83': 11307.0, '84': 8542.0, '85': 0.0, '86': 1139.0, '87': 0.0, '88': 0.0, '89': 36169.0, '90': 567956.0, '91': 3231.0, '92': 30.0, '93': 0.0, '94': 6623.0, '95': 307.0, '96': 41.0, '97': 27.0, '98': 366.0, '99': 0.0, '100': 94.0, '101': 6842.0, '102': 35404.0, '103': 844.0, '104': 38.0, '105': 10.0, '106': 60.0, '107': 0.0, '108': 0.0, '109': 0.0, '110': 0.0, '111': 0.0, '112': 1148.0, '113': 0.0, '114': 0.0, '115': 0.0, '116': 0.0, '117': 0.0, '118': 0.0, '119': 0.0, '120': 0.0, '121': 44.0, '122': 0.0, '123': 0.0, '124': 25.0, '125': 0.0, '126': 0.0, '127': 0.0, '128': 0.0, '129': 4020.0, '131': 11.0, '132': 0.0, '133': 0.0, '134': 0.0, '135': 3153.0, '136': 34.0, '137': 0.0, '138': 0.0, '139': 0.0, '140': 0.0, '141': 0.0, '142': 17950.0, '143': 0.0, '144': 98.0, '145': 1167.0, '146': 32.0, '147': 917.0, '148': 0.0, '149': 26.0, '150': 0.0, '151': 67.0, '152': 0.0, '153': 202.0, '154': 0.0, '155': 18.0, '156': 1673.0, '157': 0.0, '158': 25.0, '159': 5708.0, '160': 4936.0, '161': 83.0, '162': 1817.0, '163': 11161.0, '164': 0.0, '165': 823.0, '166': 212.0, '167': 904.0, '168': 0.0, '169': 0.0, '170': 100.0, '171': 12075.0, '172': 12273.0, '174': 66.0, '175': 16196.0, '176': 0.0, '177': 0.0, '178': 0.0, '179': 17.0, '180': 0.0, '181': 75.0, '182': 0.0, '183': 0.0, '184': 0.0, '186': 0.0, '187': 0.0, '188': 0.0, '189': 0.0, '190': 209.0, '191': 0.0, '192': 11843.0, '193': 40.0, '194': 0.0, '195': 4412.0, '196': 105.0, '197': 2083.0, '198': 866.0, '199': 0.0, '200': 16.0, '201': 67.0, '202': 0.0, '203': 0.0, '204': 0.0, '205': 0.0, '206': 12589.0, '207': 0.0, '208': 50.0, '209': 0.0, '210': 1695.0, '211': 0.0, '212': 11.0, '213': 226.0, '214': 0.0, '215': 20974.0, '216': 230255.0, '217': 2991.0, '218': 485.0, '219': 0.0, '220': 0.0, '221': 0.0, '222': 95834.0, '223': 27.0, '224': 11.0, '225': 0.0, '226': 10.0, '227': 33.0}",CARIBBEAN,MQ
CAYMAN ISLANDS,"{'8': 12.0, '11': 208.0, '12': 55.0, '14': 205.0, '17': 203.0, '19': 12.0, '20': 392.0, '22': 37.0, '28': 78.0, '35': 1619.0, '37': 13359, '38': -1908.0, '41': 16.0, '44': 467.0, '48': 144.0, '51': 844.0, '52': 12.0, '56': 19.0, '59': 72.0, '71': 10.0, '72': 41.0, '78': 151.0, '83': 17.0, '89': 373.0, '90': 19.0, '91': 2046.0, '94': 648.0, '96': 10.0, '98': 257.0, '100': 12.0, '101': 101.0, '102': 11540.0, '103': 21.0, '106': 39.0, '121': 19.0, '129': 43.0, '142': 41.0, '144': 63.0, '145': 440.0, '146': 32.0, '147': 10.0, '153': 121.0, '156': 151.0, '159': 16.0, '160': 2104.0, '163': 53.0, '172': 10.0, '175': 34.0, '190': 41.0, '192': 32.0, '197': 89.0, '200': 16.0, '201': 60.0, '206': 350.0, '215': 2394.0, '216': 3212.0, '222': 52.0, '226': 10.0, '227': 19.0}",CAYMAN ISLANDS,KY
CENTRAL AFRICAN REPUBLIC,"{'11': 10.0, '12': 22.0, '35': 195.0, '37': 0, '39': -816668.0, '40': 10608.0, '53': 6.0, '55': 18212.0, '56': 1.0, '61': 39.0, '72': 10135.0, '98': 10.0, '101': 70.0, '123': 317.0, '142': 34.0, '167': 143.0, '178': 77.0, '187': 44.0, '190': 53.0, '191': 2236.0, '194': 20695.0, '196': 12.0, '197': 153.0, '203': 8.0, '208': 6.0, '216': 579.0}",CENTRAL AFRICAN REPUBLIC,CF
CHAD,"{'34': 35635.0, '37': 0, '39': 101662.0, '40': -222303.0, '46': 980.0, '55': 351.0, '72': 1216.0, '75': 401.0, '115': 1504.0, '146': 3586.0, '147': 13033.0, '194': 372594.0}",CHAD,TD
CHANNEL ISLANDS,"{'37': 0, '41': -17158.0, '72': 2021.0, '98': 4042.0, '162': 14154.0, '215': 60665.0}",CHANNEL ISLANDS,JE
CHILE,"{'8': 79253.0, '24': 128782.0, '28': 18976.0, '37': 297326, '42': -643800.0, '43': 15921.0, '44': 173487.0, '51': 23929.0, '59': 36485.0, '60': 42266.0, '72': 9260.0, '78': 7559.0, '90': 236912.0, '101': 4670.0, '129': 10558.0, '158': 6045.0, '159': 240273.0, '192': 21798.0, '216': 17015.0, '218': 5652.0, '222': 523553.0}",CHILE,CL
CHINA,"{'11': 4052.0, '16': 3115.0, '28': 57602.0, '35': 6691.0, '37': 0, '43': -10461170.0, '94': 6953.0, '95': 30811.0, '103': 5292.0, '121': 4753.0, '153': 3414.0, '159': 10455.0, '160': 56657.0, '167': 2297.0, '193': 4214.0, '201': 11779.0, '215': 7061.0, '216': 20762.0, '223': 303095.0}",CHINA,CN
COLOMBIA,"{'8': 5719.0, '24': 1129.0, '28': 4685.0, '35': 1715.0, '37': 3580, '42': 4732.0, '43': 1584.0, '44': -3024273.0, '48': 1828.0, '51': 2534.0, '59': 1046.0, '60': 19180.0, '62': 782.0, '72': 3180.0, '78': 2156.0, '86': 857.0, '91': 690.0, '101': 3225.0, '103': 689.0, '129': 5641.0, '142': 635.0, '156': 3123.0, '159': 5680.0, '167': 646.0, '192': 17122.0, '197': 782.0, '215': 1686.0, '216': 20810.0, '218': 662.0, '222': 1780486.0}",COLOMBIA,CO
COMOROS,"{'37': 0, '45': -150823.0, '72': 479.0, '106': 74.0, '119': 9605.0, '165': 845.0, '200': 143.0}",COMOROS,KM
CONGO,"{'5': 40969.0, '21': 15094.0, '34': 11225.0, '37': 531, '39': 32481.0, '40': 10494.0, '43': 917.0, '46': -223767.0, '51': 531.0, '55': 169268.0, '63': 1570.0, '72': 10251.0, '75': 3141.0, '78': 574.0, '112': 1158.0, '123': 33696.0, '126': 3127.0, '162': 1431.0, '167': 2558.0, '168': 24955.0, '180': 13178.0, '203': 2419.0, '216': 164.0}",CONGO,CG
COOK ISLANDS,"{'11': 426.0, '37': 0, '47': -21106.0, '70': 527.0, '74': 128.0, '142': 18.0, '144': 2520.0, '148': 17.0, '157': 18.0, '176': 9.0, '215': 98.0, '216': 32.0}",COOK ISLANDS,CK
COSTA RICA,"{'0': 4.0, '1': 4.0, '2': 14.0, '5': 3.0, '8': 1761.0, '9': 8.0, '10': 38.0, '11': 79.0, '12': 152.0, '13': 3.0, '14': 14.0, '15': 1.0, '16': 3.0, '17': 13.0, '18': 6.0, '19': 350.0, '20': 167.0, '21': 1.0, '22': 13.0, '23': 4.0, '24': 442.0, '28': 652.0, '30': 85.0, '33': 3.0, '34': 11.0, '35': 1689.0, '37': 9144, '38': 9.0, '39': 6.0, '41': 132.0, '42': 2086.0, '43': 348.0, '44': 25530.0, '46': 9.0, '48': -150241.0, '50': 28.0, '51': 6908.0, '53': 3.0, '55': 3.0, '56': 75.0, '58': 6.0, '59': 1317.0, '60': 1526.0, '61': 13.0, '62': 16682.0, '65': 3.0, '66': 1.0, '67': 1.0, '70': 1.0, '71': 26.0, '72': 1046.0, '73': 14.0, '75': 1.0, '77': 14.0, '78': 2238.0, '79': 1.0, '80': 4.0, '81': 39.0, '82': 9.0, '83': 9.0, '85': 6.0, '86': 3192.0, '89': 33.0, '90': 85.0, '91': 4708.0, '92': 89.0, '93': 1.0, '94': 64.0, '95': 20.0, '96': 119.0, '97': 18.0, '98': 35.0, '100': 203.0, '101': 2558.0, '102': 260.0, '103': 338.0, '104': 13.0, '105': 6.0, '106': 9.0, '110': 4.0, '111': 1.0, '112': 105.0, '115': 13.0, '116': 4.0, '117': 11.0, '118': 18.0, '119': 3.0, '121': 4.0, '122': 1.0, '129': 3720.0, '131': 4.0, '132': 1.0, '133': 18.0, '135': 4.0, '136': 4.0, '137': 4.0, '138': 14.0, '141': 9.0, '142': 702.0, '144': 20.0, '145': 350854.0, '147': 3.0, '149': 31.0, '151': 91.0, '152': 3.0, '153': 11.0, '156': 13711.0, '158': 99.0, '159': 4540.0, '160': 167.0, '161': 361.0, '162': 94.0, '163': 426.0, '164': 3.0, '166': 118.0, '167': 718.0, '168': 1.0, '171': 1.0, '172': 1.0, '174': 1.0, '175': 1.0, '179': 16.0, '180': 1.0, '184': 9.0, '186': 26.0, '189': 1.0, '190': 67.0, '192': 2595.0, '193': 1.0, '194': 1.0, '195': 23.0, '196': 164.0, '197': 805.0, '198': 13.0, '200': 4.0, '201': 8.0, '206': 40.0, '207': 4.0, '208': 9.0, '212': 11.0, '213': 186.0, '215': 622.0, '216': 15209.0, '217': 8.0, '218': 374.0, '219': 1.0, '222': 28214.0, '223': 1.0, '227': 1.0}",COSTA RICA,CR
COTE D'IVOIRE,"{'21': 70576.0, '31': 1376350.0, '36': 374.0, '37': 0, '76': 7437.0, '79': 111708.0, '87': 167516.0, '88': 422.0, '114': 28134.0, '115': 6663.0, '123': 522146.0, '126': 12739.0, '146': 68184.0, '147': 45066.0, '180': 30368.0, '183': 853.0, '203': 41508.0}",COTE D'IVOIRE,CI
CROATIA,"{'1': 160.0, '2': 50.0, '8': 186.0, '11': 1499.0, '12': 4843.0, '18': 87.0, '19': 351.0, '24': 29.0, '26': 381100.0, '28': 180.0, '30': 285.0, '35': 943.0, '37': 0, '42': 117.0, '43': 417.0, '44': 41.0, '50': -1039526.0, '54': 891.0, '56': 95.0, '61': 232.0, '65': 17.0, '71': 36.0, '72': 1655.0, '78': 31783.0, '81': 136.0, '92': 981.0, '94': 61.0, '95': 23.0, '96': 44.0, '97': 75.0, '98': 48.0, '100': 49.0, '101': 2953.0, '103': 50.0, '104': 62.0, '105': 61.0, '111': 23.0, '112': 60.0, '115': 139.0, '117': 23.0, '118': 27.0, '129': 36.0, '131': 105.0, '134': 5815.0, '136': 25.0, '142': 759.0, '144': 107.0, '147': 25.0, '149': 9462.0, '151': 104.0, '155': 39.0, '159': 79.0, '160': 69.0, '161': 691.0, '162': 46.0, '166': 468.0, '167': 1231.0, '181': 48170.0, '186': 603.0, '187': 18432.0, '190': 189.0, '192': 175.0, '194': 60.0, '196': 588.0, '197': 2830.0, '198': 167.0, '208': 79.0, '213': 711.0, '215': 628.0, '216': 1519.0, '222': 49.0, '226': 42.0}",CROATIA,HR
CUBA,"{'1': 0.0, '2': 8.0, '5': 30.0, '8': 35.0, '24': 46.0, '30': 13.0, '35': 25.0, '37': 116, '42': 67.0, '43': 42.0, '44': 42.0, '51': -1757300.0, '54': 24.0, '59': 14.0, '60': 47.0, '72': 69.0, '78': 106.0, '82': 0.0, '83': 0.0, '86': 18.0, '90': 54.0, '92': 9.0, '101': 371.0, '102': 38.0, '112': 9.0, '129': 106.0, '145': 71.0, '156': 11.0, '159': 39.0, '161': 11.0, '163': 10.0, '166': 60.0, '167': 343.0, '192': 505.0, '213': 131.0, '215': 31.0, '216': 176.0, '222': 245.0}",CUBA,CU
CURACAO,"{'6': 47.0, '7': 62.0, '8': 24.0, '10': 1992.0, '14': 94.0, '17': 222.0, '19': 104.0, '25': 2722.0, '35': 103.0, '37': 17562, '43': 569.0, '44': 5058.0, '51': 271.0, '52': -7611.0, '58': 124.0, '59': 6665.0, '78': 143.0, '83': 2.0, '84': 109.0, '89': 533.0, '90': 2295.0, '94': 742.0, '95': 211.0, '101': 27.0, '102': 1516.0, '103': 151.0, '112': 293.0, '129': 15.0, '142': 10562.0, '159': 122.0, '162': 1070.0, '163': 17.0, '171': 210.0, '175': 339.0, '192': 22.0, '195': 2180.0, '206': 112.0, '215': 27.0, '216': 384.0, '217': 32.0, '222': 16500.0}",CURACAO,CW
CYPRUS,"{'0': 6.0, '1': 274.0, '2': 34.0, '8': 81.0, '9': 1166.0, '11': 2961.0, '12': 349.0, '13': 34.0, '15': 104.0, '16': 1526.0, '18': 336.0, '19': 256.0, '21': 6.0, '24': 8.0, '26': 65.0, '27': 6.0, '28': 55.0, '29': 1.0, '30': 6121.0, '32': 1.0, '34': 1885.0, '35': 1494.0, '37': 70, '39': 13.0, '42': 46.0, '43': 1591.0, '44': 123.0, '48': 1.0, '50': 81.0, '51': 34.0, '53': -173210.0, '54': 669.0, '55': 678.0, '56': 164.0, '57': 1.0, '59': 8.0, '60': 6.0, '61': 5156.0, '62': 8.0, '64': 1.0, '65': 26.0, '67': 78.0, '70': 1.0, '71': 489.0, '72': 908.0, '77': 15201.0, '78': 2582.0, '79': 81.0, '80': 1.0, '81': 23581.0, '90': 1.0, '91': 1.0, '92': 342.0, '93': 31.0, '94': 2732.0, '95': 169.0, '96': 1194.0, '97': 1274.0, '98': 770.0, '100': 379.0, '101': 477.0, '102': 13.0, '103': 81.0, '104': 437.0, '105': 232.0, '106': 81.0, '108': 229.0, '109': 22.0, '110': 1.0, '111': 161.0, '112': 2736.0, '115': 224.0, '117': 91.0, '118': 8.0, '119': 6.0, '120': 6.0, '121': 44.0, '124': 31.0, '127': 8.0, '129': 60.0, '131': 933.0, '136': 60.0, '137': 8.0, '138': 44.0, '139': 1.0, '141': 54.0, '142': 477.0, '144': 91.0, '145': 8.0, '146': 6.0, '147': 299.0, '149': 18.0, '151': 196.0, '152': 60.0, '153': 1374.0, '155': 2389.0, '156': 18.0, '158': 6.0, '159': 31.0, '160': 7165.0, '161': 701.0, '162': 60.0, '163': 1.0, '164': 8.0, '166': 5377.0, '167': 12935.0, '179': 229.0, '180': 6.0, '181': 2518.0, '182': 6.0, '183': 1.0, '184': 31.0, '186': 135.0, '187': 13.0, '189': 8.0, '190': 4937.0, '192': 153.0, '193': 9821.0, '194': 514.0, '195': 1.0, '196': 905.0, '197': 373.0, '198': 11446.0, '199': 6.0, '200': 142.0, '201': 256.0, '206': 13.0, '207': 34.0, '208': 605.0, '209': 8.0, '212': 18.0, '213': 3257.0, '214': 149.0, '215': 35876.0, '216': 3161.0, '218': 1.0, '219': 70.0, '222': 60.0, '223': 60.0, '225': 13.0, '226': 135.0, '227': 299.0}",CYPRUS,CY
